temperature_2m_temperature_2m_High,temperature_2m_temperature_2m_Low,relative_humidity_2m_relative_humidity_2m_High,relative_humidity_2m_relative_humidity_2m_Low,dew_point_2m_dew_point_2m_High,dew_point_2m_dew_point_2m_Low,precipitation_precipitation_High,precipitation_precipitation_Low,snowfall_snowfall_High,snowfall_snowfall_Low,snow_depth_snow_depth_High,snow_depth_snow_depth_Low,weather_code_weather_code_High,weather_code_weather_code_Low,pressure_msl_pressure_msl_High,pressure_msl_pressure_msl_Low,surface_pressure_surface_pressure_High,surface_pressure_surface_pressure_Low,cloud_cover_cloud_cover_High,cloud_cover_cloud_cover_Low,fire_fire_No,fire_fire_Yes
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False
True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True
True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True
False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True
True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False
False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False
False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False
False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False
True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False
True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
